sensor_14,sensor_11,sensor_16,sensor_17,sensor_9,sensor_3,sensor_15,sensor_4
8055.84,42.2,0.02,334,8340.5,1359.17,9.3277,1129.99
8127.28,47.55,0.03,394,9040.81,1596.62,8.4554,1404.65
8055.26,42.25,0.02,334,8341.42,1371.45,9.3331,1128.96
8111.05,45.64,0.03,372,8763.55,1504.34,8.6675,1311.13
8120.24,47.58,0.03,394,9043.13,1586.74,8.478,1409.1
8125.99,47.63,0.03,392,9042.91,1591.9,8.4428,1409.85
8073.45,42.04,0.02,330,8303.98,1352.21,9.3926,1125.0
8054.48,44.5,0.02,365,8712.14,1482.17,9.2346,1253.33
7859.5,36.92,0.02,307,7996.85,1260.81,10.8678,1040.99
7864.94,36.85,0.02,308,8004.96,1260.77,10.8815,1050.42
8048.84,44.36,0.03,366,8704.89,1485.05,9.2487,1253.12
7864.99,36.81,0.02,308,7995.45,1258.23,10.894,1049.25
7863.25,36.81,0.02,308,8003.74,1268.7,10.9035,1049.71
8071.77,42.07,0.02,330,8304.05,1356.65,9.3571,1129.01
7865.97,36.71,0.02,308,8000.19,1262.7,10.9131,1048.63
8065.68,42.15,0.02,333,8303.68,1354.71,9.3851,1120.3
8069.07,42.19,0.02,330,8304.73,1362.36,9.4237,1135.78
8049.96,44.52,0.02,366,8708.2,1491.73,9.2411,1263.49
8126.13,47.84,0.03,395,9039.16,1588.99,8.4342,1407.97
8068.96,42.07,0.02,332,8301.72,1352.66,9.3919,1135.18
8069.87,42.26,0.02,332,8300.56,1352.66,9.3779,1134.46
8118.69,47.68,0.03,393,9041.37,1587.82,8.4494,1409.12
8074.9,42.1,0.02,332,8307.89,1357.31,9.3934,1129.9
8072.4,42.3,0.02,331,8309.33,1353.15,9.3545,1123.53
8051.96,42.1,0.02,335,8338.97,1368.09,9.383,1125.3
8113.05,45.65,0.03,369,8763.25,1504.64,8.6515,1312.96
8127.02,47.61,0.03,396,9041.44,1588.98,8.4451,1409.61
7863.25,36.97,0.02,308,8001.0,1266.82,10.9231,1051.87
8072.97,42.26,0.02,332,8317.33,1352.89,9.3743,1137.5
8054.57,44.58,0.02,366,8717.43,1486.6,9.2455,1260.39
8066.0,42.11,0.02,331,8305.16,1353.17,9.436,1126.68
8058.75,42.0,0.02,335,8339.32,1369.57,9.3649,1136.49
8067.54,42.2,0.02,330,8308.02,1358.37,9.3981,1125.38
8071.46,42.39,0.02,329,8314.36,1354.86,9.3681,1127.44
8124.58,47.49,0.03,395,9048.15,1593.43,8.4587,1409.77
8119.05,45.62,0.03,369,8763.64,1501.19,8.6636,1309.55
8048.36,44.83,0.03,367,8704.26,1488.43,9.249,1259.11
8066.89,42.19,0.02,330,8308.89,1349.48,9.3842,1135.38
8059.02,42.19,0.02,334,8342.95,1376.66,9.3595,1139.31
8045.91,44.51,0.03,366,8704.52,1495.89,9.2488,1258.36
8056.86,42.13,0.02,335,8337.45,1362.75,9.3655,1129.45
8045.38,44.71,0.03,364,8712.03,1487.94,9.258,1261.08
8122.68,47.65,0.03,394,9041.7,1590.38,8.4556,1414.45
8064.94,42.1,0.02,337,8344.36,1365.7,9.3838,1139.21
8066.37,42.25,0.02,331,8316.05,1362.34,9.3829,1133.92
8063.48,42.32,0.02,332,8309.36,1360.26,9.3712,1137.95
8049.06,44.57,0.03,368,8709.6,1489.6,9.2481,1267.13
8117.58,47.84,0.03,393,9046.69,1595.96,8.4483,1419.21
8069.51,42.35,0.02,331,8306.58,1360.02,9.4154,1137.89
8119.3,47.67,0.03,392,9051.13,1592.73,8.4546,1418.58
8057.58,42.28,0.02,335,8341.01,1364.28,9.3308,1136.49
8047.51,44.62,0.02,368,8716.68,1481.57,9.3039,1267.61
7864.76,36.86,0.02,309,8004.86,1267.58,10.9242,1058.31
7866.28,37.01,0.02,309,7997.68,1263.31,10.952,1048.66
8050.26,42.21,0.02,335,8343.6,1373.37,9.3875,1140.43
7861.75,36.85,0.02,307,7998.7,1266.53,10.9068,1061.97
8058.79,42.44,0.02,335,8342.06,1369.65,9.3749,1144.41
8109.57,45.71,0.03,371,8764.85,1509.78,8.7223,1308.64
8118.7,47.79,0.03,395,9044.86,1597.91,8.4731,1422.4
8046.5,44.92,0.03,366,8712.6,1491.05,9.3054,1257.21
8071.18,42.37,0.02,331,8309.64,1356.97,9.4158,1139.01
8067.35,42.39,0.02,332,8314.42,1354.22,9.4221,1135.64
8115.4,45.76,0.03,372,8769.0,1513.22,8.7116,1330.39
8110.6,45.86,0.03,372,8774.03,1515.55,8.7248,1315.4
8115.5,47.96,0.03,396,9041.28,1607.03,8.4948,1429.4
8116.09,45.81,0.03,370,8768.69,1505.05,8.7153,1320.72
8070.95,42.52,0.02,332,8309.2,1365.09,9.4074,1135.81
7865.23,37.17,0.02,308,8001.26,1265.45,10.9495,1055.07
8047.03,44.92,0.03,366,8719.63,1498.8,9.3285,1265.93
8068.61,42.45,0.02,331,8306.47,1358.5,9.4478,1131.5
8059.02,42.5,0.02,335,8341.96,1367.93,9.402,1137.16
8117.07,45.94,0.03,370,8768.57,1505.33,8.7483,1323.98
8049.7,44.74,0.03,367,8716.39,1499.76,9.3026,1262.28
8045.45,44.74,0.03,367,8708.92,1487.05,9.2855,1265.49
8110.04,45.87,0.03,371,8768.23,1517.51,8.7529,1325.31
8065.51,42.66,0.02,332,8319.48,1361.61,9.4664,1139.52
8048.75,42.43,0.02,338,8340.82,1376.07,9.397,1139.35
8054.28,42.54,0.02,339,8346.71,1375.95,9.4441,1144.21
8049.86,44.99,0.03,367,8714.75,1497.31,9.2781,1270.91
8052.68,42.43,0.02,335,8340.36,1374.08,9.4254,1145.42
8120.19,48.09,0.03,395,9040.24,1601.91,8.5092,1429.43
8050.29,42.4,0.02,338,8338.92,1376.19,9.4189,1152.04
8113.02,46.18,0.03,372,8770.07,1511.92,8.7345,1326.5
7866.66,37.41,0.02,310,8001.23,1268.62,10.9764,1057.88
8115.88,48.07,0.03,397,9039.84,1605.33,8.524,1425.76
8066.19,42.77,0.02,332,8307.72,1366.01,9.4765,1149.81
8143.02,47.36,0.03,393,9063.58,1588.91,8.4285,1404.3
8073.01,42.01,0.02,334,8354.83,1363.81,9.3332,1124.7
8141.78,47.39,0.03,393,9063.35,1588.03,8.4273,1407.73
8093.08,41.89,0.02,331,8321.27,1348.36,9.3489,1122.03
8147.29,47.4,0.03,391,9061.96,1586.67,8.4242,1407.04
8070.72,44.47,0.02,364,8729.45,1481.72,9.2362,1248.71
8138.6,45.28,0.03,369,8790.67,1505.35,8.667,1310.27
8146.31,47.4,0.03,392,9064.63,1581.99,8.4187,1405.72
8137.72,45.34,0.03,368,8782.01,1495.56,8.6771,1305.39
7880.2,36.71,0.02,305,8016.44,1263.73,10.8924,1044.97
8129.52,45.41,0.03,368,8779.67,1496.15,8.6813,1307.82
8088.15,42.05,0.02,332,8321.45,1354.31,9.3344,1127.54
8093.48,42.09,0.02,330,8325.22,1349.5,9.3575,1126.37
8142.43,47.47,0.03,392,9069.03,1584.74,8.4366,1400.46
8085.91,42.03,0.02,332,8321.55,1350.47,9.3482,1129.38
8143.85,47.38,0.03,393,9060.64,1584.18,8.4667,1402.85
8136.98,45.41,0.03,368,8794.3,1497.06,8.6804,1313.28
8092.55,41.86,0.02,329,8323.2,1353.68,9.3826,1122.27
8079.0,41.86,0.02,334,8361.69,1369.51,9.3259,1130.29
8074.2,41.9,0.02,334,8357.43,1366.15,9.33,1124.31
8093.05,42.0,0.02,331,8328.39,1351.49,9.3538,1123.6
8091.39,42.18,0.02,330,8332.65,1350.15,9.3864,1126.44
8075.05,41.89,0.02,333,8359.48,1362.68,9.3181,1122.25
8070.96,44.49,0.02,365,8728.19,1482.68,9.2304,1250.3
8091.77,42.06,0.02,330,8329.0,1350.6,9.3814,1123.76
8087.1,41.84,0.02,330,8329.1,1359.01,9.372,1125.52
7880.17,36.82,0.02,308,8020.0,1258.35,10.8834,1041.62
8085.84,41.95,0.02,330,8326.96,1355.35,9.3602,1123.07
8140.3,47.44,0.03,391,9061.66,1590.06,8.419,1404.71
8083.57,42.23,0.02,329,8328.24,1349.38,9.3754,1125.87
8066.54,44.24,0.02,366,8735.72,1475.22,9.1702,1254.78
8097.03,42.06,0.02,331,8325.41,1354.0,9.3464,1133.31
8064.49,44.23,0.02,364,8736.98,1482.68,9.1938,1256.34
8140.21,47.51,0.03,394,9063.22,1596.96,8.4111,1401.32
8150.31,47.56,0.03,395,9063.05,1588.21,8.4041,1410.57
8093.43,42.0,0.02,331,8329.81,1352.23,9.3349,1118.35
8069.96,44.47,0.02,366,8735.19,1487.11,9.2243,1253.67
8066.11,44.12,0.02,364,8732.31,1480.77,9.2041,1247.22
8136.84,45.43,0.03,368,8790.33,1501.94,8.6386,1305.22
8069.35,42.07,0.02,333,8350.11,1361.42,9.312,1131.25
8091.07,42.06,0.02,332,8326.49,1352.85,9.3573,1123.89
8098.81,41.98,0.02,332,8329.96,1357.86,9.3545,1127.57
8077.02,41.94,0.02,333,8359.07,1369.64,9.3183,1127.2
8072.34,44.32,0.02,364,8731.08,1485.64,9.2276,1255.3
8069.69,44.35,0.02,364,8733.44,1482.57,9.2257,1248.2
8144.81,47.38,0.03,393,9057.55,1588.71,8.4212,1406.63
8072.85,41.82,0.02,333,8360.88,1367.33,9.35,1135.83
7884.02,36.68,0.02,308,8014.54,1257.58,10.9116,1045.96
8141.89,47.38,0.03,391,9064.93,1584.53,8.4112,1402.1
8148.96,47.46,0.03,390,9064.93,1584.53,8.4519,1399.74
8147.08,47.47,0.03,393,9058.99,1587.59,8.419,1411.27
7879.44,36.66,0.02,306,8005.94,1262.6,10.8789,1050.61
8143.58,45.36,0.03,370,8788.43,1501.01,8.6691,1309.51
7879.79,36.7,0.02,308,8013.06,1265.08,10.8931,1050.62
8071.62,44.07,0.02,365,8738.24,1480.18,9.1934,1248.5
8139.54,45.62,0.03,366,8791.62,1501.86,8.6256,1304.31
8068.64,44.25,0.02,365,8731.6,1484.37,9.212,1252.06
8092.05,42.02,0.02,331,8329.85,1351.33,9.3584,1120.9
8144.08,47.27,0.03,392,9067.12,1587.38,8.4161,1409.88
8067.05,44.38,0.02,365,8726.14,1480.05,9.2215,1257.12
8094.26,42.14,0.02,330,8325.92,1351.64,9.325,1133.12
8093.75,42.01,0.02,330,8329.9,1354.98,9.358,1131.92
8076.66,41.84,0.02,334,8359.65,1370.56,9.3151,1128.59
7886.29,36.76,0.02,306,8014.85,1265.29,10.897,1045.03
7882.45,36.51,0.02,306,8020.24,1267.64,10.9374,1047.94
8093.8,42.11,0.02,331,8331.25,1356.45,9.3345,1124.35
7876.09,36.61,0.02,306,8017.53,1264.5,10.9044,1044.17
8067.09,44.21,0.02,363,8738.58,1488.33,9.2456,1257.82
7877.86,36.84,0.02,307,8018.86,1262.41,10.9357,1046.0
7875.7,36.8,0.02,307,8012.9,1256.86,10.9207,1049.27
8091.04,41.81,0.02,332,8334.64,1354.17,9.3448,1122.39
8071.32,44.3,0.02,365,8723.36,1484.74,9.2166,1248.64
8148.27,47.46,0.03,392,9069.24,1594.28,8.4353,1403.14
8072.38,44.17,0.02,364,8733.09,1488.8,9.2363,1250.84
8075.19,41.95,0.02,333,8359.71,1362.71,9.3663,1130.65
8068.52,44.41,0.02,365,8728.21,1483.17,9.2023,1248.87
8140.53,45.23,0.03,369,8789.94,1505.64,8.6734,1308.32
8069.05,44.34,0.02,364,8735.14,1491.19,9.2138,1253.45
8140.45,47.42,0.03,393,9072.89,1592.0,8.4228,1403.47
8147.11,47.37,0.03,393,9074.03,1586.92,8.4291,1409.57
8096.43,42.03,0.02,332,8334.48,1355.37,9.3328,1126.74
8138.33,45.52,0.03,369,8786.21,1498.41,8.6366,1311.46
8074.52,42.01,0.02,335,8358.63,1362.95,9.3204,1127.15
7883.4,36.83,0.02,305,8022.46,1255.69,10.9288,1050.91
8071.21,44.3,0.02,365,8733.25,1484.34,9.2154,1253.49
8145.8,47.36,0.03,392,9062.31,1591.82,8.4361,1406.03
8088.44,42.14,0.02,332,8335.97,1354.22,9.3625,1123.87
7884.11,36.75,0.02,307,8014.51,1265.9,10.8993,1054.83
7881.17,36.75,0.02,308,8022.94,1263.14,10.873,1054.32
8090.88,42.0,0.02,332,8336.51,1352.45,9.3298,1123.05
7876.48,36.66,0.02,307,8014.07,1262.32,10.9147,1054.64
8093.63,42.02,0.02,331,8334.57,1358.44,9.3758,1131.01
8138.13,45.37,0.03,369,8787.12,1496.94,8.6564,1315.39
8093.1,42.05,0.02,331,8324.13,1349.65,9.3712,1123.95
8140.15,45.41,0.03,370,8786.98,1504.25,8.6566,1307.41
7883.94,36.75,0.02,307,8021.66,1266.69,10.9254,1049.63
7880.55,36.75,0.02,307,8013.46,1263.72,10.9236,1045.04
8146.07,47.41,0.03,392,9067.11,1590.35,8.4294,1410.98
8071.53,44.33,0.02,365,8732.86,1483.53,9.2121,1251.91
8075.61,41.9,0.02,336,8359.47,1361.18,9.3283,1128.03
8139.08,45.33,0.03,370,8787.19,1499.35,8.6827,1306.82
8146.94,47.67,0.03,392,9071.05,1594.1,8.4025,1400.69
8093.97,41.91,0.02,332,8326.87,1354.64,9.3632,1128.8
8150.59,47.4,0.03,392,9071.98,1594.8,8.4376,1409.61
8075.87,41.86,0.02,336,8357.17,1360.13,9.3094,1136.41
8067.45,44.25,0.02,364,8727.25,1491.8,9.2513,1251.87
8151.95,47.44,0.03,393,9067.0,1590.45,8.4512,1401.75
8135.29,45.42,0.03,369,8791.08,1494.94,8.6264,1309.52
8073.45,41.81,0.02,335,8356.03,1366.05,9.33,1128.15
7877.84,36.84,0.02,306,8017.36,1269.66,10.9046,1047.89
8092.72,42.07,0.02,331,8333.55,1354.89,9.3481,1124.28
8139.26,45.6,0.03,369,8789.0,1504.62,8.6596,1309.77
8140.43,45.38,0.03,371,8786.75,1507.21,8.6588,1306.2
7880.23,36.76,0.02,305,8020.7,1253.86,10.9213,1054.27
8089.71,42.13,0.02,330,8330.73,1350.64,9.3771,1122.71
8074.82,41.95,0.02,336,8360.96,1364.06,9.3049,1132.79
8091.57,42.11,0.02,331,8330.5,1349.94,9.3835,1126.34
7877.92,36.78,0.02,308,8020.82,1261.06,10.9004,1056.0
7875.75,36.92,0.02,308,8016.86,1267.79,10.9252,1054.26
7883.6,36.94,0.02,308,8018.21,1267.73,10.8791,1055.43
7881.29,36.86,0.02,308,8014.35,1262.47,10.8595,1049.35
8141.0,45.7,0.03,369,8786.83,1504.94,8.6413,1315.26
8094.72,41.96,0.02,330,8333.34,1355.73,9.3726,1128.01
8138.28,45.36,0.03,370,8789.72,1494.52,8.6475,1315.18
8076.16,44.33,0.02,365,8734.23,1483.66,9.2201,1249.17
7888.01,36.84,0.02,308,8023.34,1259.05,10.8978,1053.96
8066.89,44.42,0.02,363,8734.83,1480.13,9.255,1250.59
8070.19,44.38,0.02,365,8730.21,1490.56,9.2089,1249.77
8097.8,42.11,0.02,332,8330.35,1362.14,9.4018,1139.66
8095.65,42.12,0.02,330,8342.9,1357.77,9.3742,1124.62
7878.17,36.82,0.02,306,8025.93,1272.68,10.9279,1052.99
8067.83,44.37,0.02,365,8733.63,1487.01,9.23,1250.04
8078.16,41.89,0.02,334,8362.37,1368.48,9.3388,1131.22
8096.12,42.09,0.02,331,8338.98,1360.87,9.361,1133.74
8070.76,44.44,0.02,364,8737.32,1479.61,9.2541,1244.8
8087.54,42.05,0.02,332,8336.37,1354.75,9.3524,1129.02
8076.84,41.97,0.02,334,8359.11,1366.19,9.3278,1132.71
8078.02,41.87,0.02,334,8357.81,1370.54,9.3242,1132.24
8144.07,47.43,0.03,392,9069.38,1587.19,8.4253,1408.64
8072.56,44.62,0.02,365,8727.71,1489.1,9.2534,1248.12
8097.31,42.15,0.02,331,8334.85,1354.74,9.3997,1126.26
8073.3,42.19,0.02,334,8362.8,1366.02,9.3111,1129.0
8072.01,44.25,0.02,365,8733.72,1488.39,9.2413,1257.01
8145.79,47.7,0.03,393,9077.51,1586.72,8.4928,1416.83
8078.04,42.01,0.02,334,8360.65,1367.98,9.3511,1127.45
8082.97,41.9,0.02,336,8359.18,1371.41,9.3246,1133.22
8091.08,42.21,0.02,331,8327.57,1354.79,9.3832,1136.0
7882.92,36.83,0.02,307,8023.64,1259.58,10.9038,1052.82
7882.35,36.78,0.02,307,8024.61,1265.72,10.8994,1048.88
8074.98,41.92,0.02,335,8366.85,1364.57,9.2953,1129.43
8073.31,44.41,0.02,365,8740.76,1481.72,9.2439,1253.67
8079.49,44.4,0.02,364,8738.68,1478.43,9.2545,1250.11
8096.11,42.12,0.02,330,8340.0,1358.4,9.3716,1135.55
8077.03,41.92,0.02,335,8360.99,1365.55,9.2998,1138.5
7885.86,36.75,0.02,308,8022.27,1259.54,10.882,1056.03
8092.83,42.26,0.02,332,8333.11,1359.84,9.3764,1125.06
8096.11,42.23,0.02,330,8346.57,1357.85,9.358,1133.74
8072.08,44.43,0.02,364,8737.36,1485.92,9.2625,1251.31
8142.68,45.6,0.03,370,8790.79,1502.1,8.6715,1307.28
8100.7,42.2,0.02,331,8334.01,1358.08,9.3702,1132.38
8149.32,47.72,0.03,395,9077.16,1589.65,8.429,1412.26
8076.15,44.54,0.02,365,8735.97,1484.28,9.2464,1255.25
8136.47,45.4,0.03,371,8787.97,1502.19,8.6779,1307.71
8068.53,44.5,0.03,365,8736.06,1484.88,9.2261,1256.95
8148.58,47.56,0.03,392,9077.24,1591.06,8.4466,1413.77
7883.94,36.83,0.02,308,8024.51,1268.57,10.9447,1049.1
8145.49,47.58,0.03,393,9069.49,1592.2,8.4884,1407.81
8099.7,42.33,0.02,332,8330.96,1352.44,9.3994,1130.04
8078.63,42.1,0.02,334,8356.85,1366.11,9.3475,1131.75
8099.4,42.24,0.02,332,8334.38,1358.28,9.3626,1140.09
8074.25,44.49,0.02,366,8734.33,1490.45,9.2596,1259.97
7883.22,36.83,0.02,308,8022.02,1265.74,10.8899,1046.13
8071.25,44.58,0.02,365,8731.31,1484.43,9.2182,1256.62
8094.81,42.17,0.02,329,8328.5,1353.04,9.3675,1127.31
8098.68,42.39,0.02,330,8344.56,1349.67,9.3804,1125.87
8095.75,42.18,0.02,331,8325.39,1347.04,9.4028,1133.45
7880.73,36.94,0.02,309,8022.71,1267.17,10.9275,1059.84
8141.38,45.61,0.03,370,8791.48,1505.52,8.677,1311.59
8079.61,42.31,0.02,335,8359.82,1371.61,9.3396,1136.27
8092.19,42.26,0.02,332,8336.62,1358.51,9.3745,1134.75
8148.18,47.63,0.03,395,9074.85,1588.54,8.4397,1421.71
8084.75,42.07,0.02,334,8367.3,1367.24,9.3265,1134.15
8137.99,45.85,0.03,370,8795.37,1508.13,8.6838,1318.78
8078.38,42.19,0.02,335,8367.8,1363.07,9.3345,1123.45
8147.75,47.64,0.03,394,9085.15,1590.55,8.471,1406.65
8075.14,42.1,0.02,335,8365.68,1375.38,9.4055,1131.75
8075.02,44.56,0.02,366,8739.92,1490.84,9.2979,1262.63
8074.55,44.4,0.02,366,8739.24,1488.73,9.2597,1254.09
7881.46,36.78,0.02,307,8026.41,1262.08,10.9247,1052.3
8143.34,45.47,0.03,370,8792.44,1503.57,8.6218,1317.93
8095.92,42.28,0.02,331,8327.0,1355.22,9.3837,1131.44
8099.3,42.36,0.02,333,8345.07,1358.92,9.367,1130.96
8097.66,42.27,0.02,331,8337.04,1361.84,9.4005,1136.54
8139.9,45.78,0.03,370,8794.65,1503.11,8.6554,1308.28
8147.33,47.66,0.03,393,9076.03,1596.99,8.4536,1421.3
8099.58,42.22,0.02,331,8341.15,1358.3,9.3714,1123.29
8082.39,41.97,0.02,334,8369.48,1364.07,9.3633,1128.92
8139.97,45.65,0.03,371,8796.72,1509.36,8.6857,1320.0
8096.58,42.3,0.02,332,8344.58,1359.52,9.406,1130.1
8151.08,47.69,0.03,393,9079.84,1585.34,8.4896,1418.8
8080.17,42.16,0.02,334,8370.0,1374.22,9.3568,1136.97
8150.97,45.89,0.03,371,8799.48,1510.17,8.6989,1318.07
8078.84,44.59,0.02,366,8751.48,1489.22,9.2497,1254.87
8076.44,42.22,0.02,336,8363.56,1371.34,9.3372,1135.79
8096.04,42.45,0.02,334,8343.41,1363.39,9.3915,1133.33
8076.06,44.67,0.02,366,8738.96,1492.37,9.3089,1253.94
8147.29,45.52,0.03,370,8798.38,1500.62,8.7296,1317.69
8102.92,42.54,0.02,331,8335.58,1363.96,9.3766,1128.95
7884.9,36.92,0.02,308,8029.16,1277.86,10.93,1059.99
8141.26,45.6,0.03,372,8800.51,1509.73,8.7132,1317.27
8078.91,42.22,0.02,335,8366.73,1371.55,9.3505,1136.05
8077.03,41.88,0.02,334,8364.22,1379.6,9.3779,1137.17
8078.53,42.11,0.02,333,8369.33,1367.73,9.3736,1137.77
8078.0,44.44,0.03,366,8749.01,1490.85,9.236,1258.51
8150.52,47.82,0.03,393,9085.32,1597.65,8.4697,1420.15
8145.75,45.79,0.03,370,8795.4,1507.01,8.6803,1314.74
8071.38,44.82,0.03,368,8745.18,1489.47,9.3217,1257.17
8103.7,42.45,0.02,331,8338.4,1360.89,9.422,1135.5
8151.57,47.91,0.03,393,9077.09,1596.01,8.4689,1417.37
7887.9,37.05,0.02,308,8028.44,1269.73,10.9331,1054.3
7893.0,36.93,0.02,308,8023.96,1271.4,10.9801,1052.42
8105.42,42.48,0.02,333,8334.03,1360.06,9.3985,1138.76
8144.69,45.97,0.03,370,8801.65,1506.98,8.6984,1321.41
8101.81,42.44,0.02,331,8349.63,1359.13,9.4145,1130.08
8081.95,42.24,0.02,337,8379.32,1369.54,9.3999,1135.25
8150.13,47.69,0.03,397,9075.08,1591.61,8.4427,1416.32
8142.89,45.81,0.03,371,8801.34,1510.7,8.7145,1324.21
8083.22,42.21,0.02,335,8375.67,1368.87,9.3694,1138.7
8073.73,44.71,0.03,368,8743.96,1493.11,9.2823,1261.36
8102.13,42.56,0.02,333,8345.67,1356.58,9.406,1130.32
8103.77,42.46,0.02,333,8342.83,1365.64,9.432,1138.84
8100.92,42.19,0.02,330,8351.96,1367.51,9.417,1130.82
8085.57,42.15,0.02,337,8369.99,1369.15,9.385,1144.0
8143.61,45.79,0.03,372,8801.21,1506.49,8.6975,1323.07
8084.01,42.29,0.02,336,8369.74,1373.45,9.3753,1135.1
8087.77,42.42,0.02,336,8367.26,1371.15,9.3729,1143.56
8100.02,42.51,0.02,333,8346.5,1369.6,9.4015,1137.99
7888.58,36.96,0.02,308,8032.35,1270.84,10.9917,1061.88
8105.0,42.47,0.02,332,8350.43,1358.01,9.391,1134.32
8099.81,42.53,0.02,332,8353.28,1366.68,9.3893,1135.98
8076.21,44.86,0.02,366,8751.74,1492.28,9.2608,1262.41
8107.81,42.53,0.02,333,8346.96,1360.03,9.4046,1134.93
7894.21,37.0,0.02,310,8033.42,1265.13,10.9993,1063.11
8098.94,42.49,0.02,333,8352.86,1361.65,9.458,1140.43
8081.17,44.79,0.03,368,8749.24,1492.74,9.2747,1266.08
8090.33,42.37,0.02,335,8375.11,1371.8,9.3964,1144.54
8158.64,48.04,0.03,397,9083.42,1599.34,8.5033,1423.26
7898.88,37.06,0.02,307,8030.77,1272.03,10.9761,1054.98
8148.83,46.16,0.03,369,8802.84,1513.62,8.7503,1319.73
