sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_17,sensor_18,sensor_20,sensor_21
462.54,537.03,1262.69,1047.52,7.05,9.02,175.0,1915.12,7999.59,0.94,36.74,164.32,308,1915,14.31,8.6567
491.19,607.51,1481.61,1253.1,9.35,13.65,334.33,2323.98,8707.14,1.07,44.47,315.14,367,2324,24.53,14.6998
518.67,643.24,1591.46,1405.31,14.62,21.61,553.34,2388.14,9040.41,1.3,47.54,521.83,392,2388,38.83,23.1994
445.0,550.1,1355.17,1123.54,3.91,5.71,138.41,2211.53,8311.01,1.02,42.27,130.96,331,2212,10.36,6.3852
449.44,555.71,1359.17,1129.99,5.48,8.0,193.78,2222.73,8340.5,1.02,42.2,183.37,334,2223,14.76,8.8812
518.67,642.62,1596.62,1404.65,14.62,21.61,553.42,2388.18,9040.81,1.3,47.55,521.0,394,2388,38.73,23.1253
449.44,555.55,1371.45,1128.96,5.48,8.0,194.45,2222.68,8341.42,1.02,42.25,182.98,334,2223,14.92,8.8907
489.05,605.01,1504.34,1311.13,10.52,15.49,392.95,2318.99,8763.55,1.26,45.64,371.09,372,2319,28.47,17.1321
518.67,642.88,1586.74,1409.1,14.62,21.61,554.08,2388.1,9043.13,1.3,47.58,521.51,394,2388,38.9,23.2609
518.67,642.48,1591.9,1409.85,14.62,21.61,552.82,2388.15,9042.91,1.3,47.63,521.43,392,2388,38.9,23.2975
445.0,549.91,1352.21,1125.0,3.91,5.72,139.43,2211.62,8303.98,1.02,42.04,130.67,330,2212,10.53,6.4002
491.19,607.44,1482.17,1253.33,9.35,13.65,334.53,2323.93,8712.14,1.08,44.5,314.82,365,2324,24.4,14.6559
462.54,536.96,1260.81,1040.99,7.05,9.02,175.52,1915.1,7996.85,0.94,36.92,164.35,307,1915,14.24,8.6689
462.54,536.57,1260.77,1050.42,7.05,9.03,176.3,1915.13,8004.96,0.94,36.85,164.95,308,1915,14.16,8.6025
491.19,607.16,1485.05,1253.12,9.35,13.65,334.09,2323.95,8704.89,1.08,44.36,314.49,366,2324,24.33,14.689
462.54,536.43,1258.23,1049.25,7.05,9.02,175.13,1915.07,7995.45,0.94,36.81,164.46,308,1915,14.19,8.5761
462.54,537.02,1268.7,1049.71,7.05,9.03,176.05,1915.11,8003.74,0.94,36.81,164.05,308,1915,14.2,8.6043
445.0,549.99,1356.65,1129.01,3.91,5.71,137.8,2211.59,8304.05,1.02,42.07,130.41,330,2212,10.59,6.4279
462.54,536.41,1262.7,1048.63,7.05,9.03,175.2,1915.15,8000.19,0.94,36.71,164.53,308,1915,14.15,8.5599
445.0,549.7,1354.71,1120.3,3.91,5.71,138.79,2211.6,8303.68,1.02,42.15,130.63,333,2212,10.71,6.3779
445.0,549.39,1362.36,1135.78,3.91,5.71,138.94,2211.57,8304.73,1.02,42.19,130.11,330,2212,10.61,6.4276
491.19,607.61,1491.73,1263.49,9.35,13.66,335.04,2323.94,8708.2,1.08,44.52,314.39,366,2324,24.45,14.6586
518.67,643.26,1588.99,1407.97,14.62,21.61,552.85,2388.2,9039.16,1.3,47.84,521.02,395,2388,38.63,23.2127
445.0,549.11,1352.66,1135.18,3.91,5.71,138.17,2211.6,8301.72,1.02,42.07,130.25,332,2212,10.39,6.2655
445.0,549.65,1352.66,1134.46,3.91,5.71,138.3,2211.59,8300.56,1.02,42.26,130.73,332,2212,10.64,6.4574
518.67,642.74,1587.82,1409.12,14.62,21.61,553.48,2388.1,9041.37,1.3,47.68,521.22,393,2388,38.88,23.2781
445.0,549.23,1357.31,1129.9,3.91,5.71,138.09,2211.6,8307.89,1.02,42.1,130.21,332,2212,10.58,6.2943
445.0,549.92,1353.15,1123.53,3.91,5.72,138.61,2211.56,8309.33,1.02,42.3,130.28,331,2212,10.49,6.3436
449.44,555.62,1368.09,1125.3,5.48,8.0,194.0,2222.68,8338.97,1.02,42.1,182.76,335,2223,14.61,8.8893
489.05,605.25,1504.64,1312.96,10.52,15.5,393.97,2319.06,8763.25,1.26,45.65,371.25,369,2319,28.72,17.1524
518.67,642.95,1588.98,1409.61,14.62,21.61,553.31,2388.13,9041.44,1.3,47.61,520.9,396,2388,38.74,23.1633
462.54,536.99,1266.82,1051.87,7.05,9.02,175.02,1915.11,8001.0,0.94,36.97,165.07,308,1915,14.17,8.5937
445.0,548.99,1352.89,1137.5,3.91,5.71,138.58,2211.59,8317.33,1.02,42.26,130.61,332,2212,10.54,6.3763
491.19,608.0,1486.6,1260.39,9.35,13.66,334.76,2323.95,8717.43,1.08,44.58,314.62,366,2324,24.43,14.6864
445.0,550.1,1353.17,1126.68,3.91,5.72,139.02,2211.61,8305.16,1.02,42.11,129.63,331,2212,10.67,6.3511
449.44,555.64,1369.57,1136.49,5.48,8.0,193.87,2222.64,8339.32,1.02,42.0,182.37,335,2223,14.8,8.8716
445.0,549.65,1358.37,1125.38,3.91,5.71,139.0,2211.54,8308.02,1.02,42.2,130.49,330,2212,10.49,6.3469
445.0,549.43,1354.86,1127.44,3.91,5.71,138.91,2211.66,8314.36,1.02,42.39,130.44,329,2212,10.75,6.3409
518.67,643.26,1593.43,1409.77,14.62,21.61,553.19,2388.13,9048.15,1.3,47.49,521.22,395,2388,38.62,23.3025
489.05,604.97,1501.19,1309.55,10.52,15.5,393.8,2319.04,8763.64,1.26,45.62,371.05,369,2319,28.53,17.1145
491.19,607.6,1488.43,1259.11,9.35,13.66,333.85,2323.93,8704.26,1.08,44.83,314.17,367,2324,24.51,14.6742
445.0,549.99,1349.48,1135.38,3.91,5.72,138.37,2211.56,8308.89,1.02,42.19,130.44,330,2212,10.5,6.4038
449.44,555.9,1376.66,1139.31,5.48,8.0,194.2,2222.67,8342.95,1.02,42.19,182.22,334,2223,14.86,8.8523
491.19,607.32,1495.89,1258.36,9.35,13.66,334.38,2323.93,8704.52,1.08,44.51,314.23,366,2324,24.22,14.7405
449.44,556.29,1362.75,1129.45,5.48,8.0,194.42,2222.7,8337.45,1.02,42.13,182.92,335,2223,14.81,8.9265
491.19,607.04,1487.94,1261.08,9.35,13.66,334.66,2323.99,8712.03,1.08,44.71,314.16,364,2324,24.37,14.5177
518.67,643.12,1590.38,1414.45,14.62,21.61,552.97,2388.16,9041.7,1.3,47.65,520.52,394,2388,38.68,23.2542
449.44,555.85,1365.7,1139.21,5.48,8.0,193.72,2222.69,8344.36,1.02,42.1,183.02,337,2223,14.85,8.9967
445.0,550.09,1362.34,1133.92,3.91,5.71,137.57,2211.58,8316.05,1.02,42.25,130.73,331,2212,10.42,6.3999
445.0,549.88,1360.26,1137.95,3.91,5.72,138.15,2211.59,8309.36,1.02,42.32,130.97,332,2212,10.47,6.3742
491.19,607.79,1489.6,1267.13,9.35,13.66,333.74,2323.96,8709.6,1.07,44.57,314.53,368,2324,24.3,14.6406
518.67,643.25,1595.96,1419.21,14.62,21.61,552.63,2388.18,9046.69,1.3,47.84,520.65,393,2388,38.47,23.1974
445.0,549.91,1360.02,1137.89,3.91,5.72,138.53,2211.46,8306.58,1.02,42.35,130.77,331,2212,10.64,6.4053
518.67,642.6,1592.73,1418.58,14.62,21.61,552.23,2388.17,9051.13,1.3,47.67,520.45,392,2388,38.74,23.2
449.44,556.07,1364.28,1136.49,5.48,8.0,194.18,2222.74,8341.01,1.02,42.28,182.57,335,2223,14.78,8.7806
491.19,608.28,1481.57,1267.61,9.35,13.66,333.01,2323.98,8716.68,1.07,44.62,314.63,368,2324,24.2,14.5302
462.54,536.47,1267.58,1058.31,7.05,9.03,174.62,1915.12,8004.86,0.94,36.86,164.87,309,1915,14.06,8.7042
462.54,536.52,1263.31,1048.66,7.05,9.03,175.33,1915.14,7997.68,0.94,37.01,164.11,309,1915,14.22,8.5179
449.44,555.76,1373.37,1140.43,5.48,8.0,194.35,2222.68,8343.6,1.02,42.21,182.88,335,2223,14.83,8.9242
462.54,537.29,1266.53,1061.97,7.05,9.03,175.01,1915.11,7998.7,0.94,36.85,164.87,307,1915,14.31,8.5953
449.44,555.99,1369.65,1144.41,5.48,8.0,193.68,2222.68,8342.06,1.02,42.44,182.38,335,2223,14.79,8.8366
489.05,605.22,1509.78,1308.64,10.52,15.5,393.39,2319.09,8764.85,1.26,45.71,370.99,371,2319,28.51,17.0759
518.67,643.12,1597.91,1422.4,14.62,21.61,552.44,2388.21,9044.86,1.3,47.79,520.1,395,2388,38.91,23.2788
491.19,607.84,1491.05,1257.21,9.35,13.66,334.88,2324.0,8712.6,1.08,44.92,314.37,366,2324,24.55,14.6129
445.0,550.12,1356.97,1139.01,3.91,5.71,137.97,2211.61,8309.64,1.02,42.37,129.9,331,2212,10.65,6.2579
445.0,549.86,1354.22,1135.64,3.91,5.71,138.59,2211.51,8314.42,1.02,42.39,129.49,332,2212,10.4,6.3026
489.05,605.58,1513.22,1330.39,10.52,15.5,393.66,2319.12,8769.0,1.26,45.76,370.45,372,2319,28.42,17.1031
489.05,605.0,1515.55,1315.4,10.52,15.5,393.56,2319.08,8774.03,1.26,45.86,371.11,372,2319,28.31,17.0151
518.67,643.07,1607.03,1429.4,14.62,21.61,552.3,2388.26,9041.28,1.3,47.96,520.63,396,2388,38.69,23.1347
489.05,605.81,1505.05,1320.72,10.52,15.5,393.52,2319.06,8768.69,1.26,45.81,371.22,370,2319,28.23,17.0874
445.0,550.31,1365.09,1135.81,3.91,5.72,138.12,2211.53,8309.2,1.02,42.52,130.12,332,2212,10.53,6.3195
462.54,537.45,1265.45,1055.07,7.05,9.03,175.09,1915.1,8001.26,0.94,37.17,164.14,308,1915,13.93,8.4511
491.19,608.17,1498.8,1265.93,9.35,13.66,333.59,2324.01,8719.63,1.08,44.92,314.62,366,2324,24.2,14.6086
445.0,549.9,1358.5,1131.5,3.91,5.72,138.2,2211.48,8306.47,1.02,42.45,130.02,331,2212,10.51,6.2807
449.44,556.74,1367.93,1137.16,5.48,8.0,193.89,2222.72,8341.96,1.02,42.5,182.91,335,2223,14.92,8.7454
489.05,605.79,1505.33,1323.98,10.52,15.5,393.74,2319.07,8768.57,1.26,45.94,370.32,370,2319,28.38,16.929
491.19,608.47,1499.76,1262.28,9.35,13.66,333.37,2324.0,8716.39,1.07,44.74,313.73,367,2324,24.56,14.4707
491.19,607.89,1487.05,1265.49,9.35,13.66,334.05,2324.01,8708.92,1.08,44.74,313.72,367,2324,24.2,14.6084
489.05,605.39,1517.51,1325.31,10.52,15.5,393.49,2319.13,8768.23,1.26,45.87,370.44,371,2319,28.3,17.0501
445.0,549.88,1361.61,1139.52,3.91,5.72,138.54,2211.5,8319.48,1.02,42.66,129.51,332,2212,10.52,6.2593
449.44,556.36,1376.07,1139.35,5.48,8.0,194.98,2222.62,8340.82,1.02,42.43,182.95,338,2223,14.68,8.7953
449.44,556.33,1375.95,1144.21,5.48,8.0,193.8,2222.7,8346.71,1.02,42.54,182.67,339,2223,14.61,8.9616
491.19,608.28,1497.31,1270.91,9.35,13.66,333.35,2324.03,8714.75,1.08,44.99,314.28,367,2324,24.13,14.6524
449.44,556.56,1374.08,1145.42,5.48,8.0,194.12,2222.65,8340.36,1.02,42.43,182.57,335,2223,14.71,8.9133
518.67,643.02,1601.91,1429.43,14.62,21.61,551.92,2388.27,9040.24,1.3,48.09,520.24,395,2388,38.27,23.1236
449.44,556.59,1376.19,1152.04,5.48,8.0,193.05,2222.67,8338.92,1.02,42.4,182.61,338,2223,14.72,8.824
489.05,605.94,1511.92,1326.5,10.52,15.5,393.18,2319.23,8770.07,1.26,46.18,370.52,372,2319,28.16,16.9984
462.54,537.5,1268.62,1057.88,7.05,9.03,174.77,1915.02,8001.23,0.94,37.41,164.56,310,1915,14.34,8.4476
518.67,643.73,1605.33,1425.76,14.62,21.61,551.69,2388.31,9039.84,1.3,48.07,519.76,397,2388,38.55,23.0079
445.0,550.49,1366.01,1149.81,3.91,5.71,137.76,2211.38,8307.72,1.02,42.77,129.55,332,2212,10.45,6.2285
518.67,642.04,1588.91,1404.3,14.62,21.61,552.8,2388.02,9063.58,1.3,47.36,521.38,393,2388,38.88,23.2326
449.44,556.13,1363.81,1124.7,5.48,8.0,194.62,2223.04,8354.83,1.02,42.01,183.06,334,2223,14.86,8.9052
518.67,642.76,1588.03,1407.73,14.62,21.61,553.13,2388.07,9063.35,1.3,47.39,521.91,393,2388,38.73,23.2169
445.0,549.96,1348.36,1122.03,3.91,5.71,138.79,2212.06,8321.27,1.02,41.89,130.11,331,2212,10.68,6.4105
518.67,642.21,1586.67,1407.04,14.62,21.61,553.86,2388.03,9061.96,1.3,47.4,521.48,391,2388,39.03,23.4084
491.19,607.11,1481.72,1248.71,9.35,13.66,335.2,2323.96,8729.45,1.08,44.47,315.37,364,2324,24.41,14.6687
489.05,604.86,1505.35,1310.27,10.52,15.49,394.1,2318.92,8790.67,1.26,45.28,371.47,369,2319,28.61,17.1675
518.67,642.31,1581.99,1405.72,14.62,21.61,554.92,2388.05,9064.63,1.3,47.4,521.73,392,2388,39.0,23.4171
489.05,604.81,1495.56,1305.39,10.52,15.49,394.87,2318.98,8782.01,1.26,45.34,371.78,368,2319,28.69,17.1786
462.54,536.87,1263.73,1044.97,7.05,9.03,175.78,1915.45,8016.44,0.94,36.71,164.47,305,1915,14.28,8.508
489.05,604.4,1496.15,1307.82,10.52,15.5,394.65,2318.88,8779.67,1.26,45.41,371.46,368,2319,28.56,17.2614
445.0,549.44,1354.31,1127.54,3.91,5.72,139.22,2212.0,8321.45,1.02,42.05,130.45,332,2212,10.63,6.2389
445.0,549.7,1349.5,1126.37,3.91,5.72,139.17,2212.03,8325.22,1.02,42.09,130.53,330,2212,10.5,6.3702
518.67,642.19,1584.74,1400.46,14.62,21.61,553.22,2388.08,9069.03,1.3,47.47,521.57,392,2388,39.07,23.4123
445.0,549.25,1350.47,1129.38,3.91,5.72,139.19,2212.04,8321.55,1.02,42.03,130.74,332,2212,10.51,6.3607
518.67,642.05,1584.18,1402.85,14.62,21.61,553.84,2388.08,9060.64,1.3,47.38,521.38,393,2388,38.94,23.3335
489.05,604.04,1497.06,1313.28,10.52,15.49,394.27,2318.91,8794.3,1.26,45.41,371.7,368,2319,28.63,17.0145
445.0,549.75,1353.68,1122.27,3.91,5.71,138.95,2211.96,8323.2,1.02,41.86,130.61,329,2212,10.64,6.4294
449.44,556.15,1369.51,1130.29,5.48,8.0,194.61,2223.09,8361.69,1.02,41.86,182.96,334,2223,14.75,8.9394
449.44,556.01,1366.15,1124.31,5.48,8.0,194.35,2223.1,8357.43,1.02,41.9,183.09,334,2223,14.89,8.7571
445.0,549.23,1351.49,1123.6,3.91,5.72,139.03,2212.06,8328.39,1.02,42.0,131.03,331,2212,10.63,6.3981
445.0,548.94,1350.15,1126.44,3.91,5.72,138.82,2212.08,8332.65,1.02,42.18,130.86,330,2212,10.65,6.3243
449.44,556.06,1362.68,1122.25,5.48,8.0,194.39,2223.13,8359.48,1.02,41.89,183.07,333,2223,14.94,8.9039
491.19,607.15,1482.68,1250.3,9.35,13.66,335.58,2324.0,8728.19,1.08,44.49,314.86,365,2324,24.62,14.6853
445.0,549.23,1350.6,1123.76,3.91,5.71,138.69,2211.94,8329.0,1.02,42.06,130.44,330,2212,10.58,6.4372
445.0,549.8,1359.01,1125.52,3.91,5.71,138.47,2212.06,8329.1,1.02,41.84,130.31,330,2212,10.67,6.3556
462.54,536.8,1258.35,1041.62,7.05,9.02,175.91,1915.46,8020.0,0.94,36.82,164.66,308,1915,14.34,8.5547
445.0,549.75,1355.35,1123.07,3.91,5.71,139.33,2211.99,8326.96,1.02,41.95,130.98,330,2212,10.62,6.3142
518.67,642.37,1590.06,1404.71,14.62,21.61,553.66,2388.09,9061.66,1.3,47.44,522.59,391,2388,39.04,23.3727
445.0,549.59,1349.38,1125.87,3.91,5.72,138.46,2211.93,8328.24,1.02,42.23,130.7,329,2212,10.53,6.3671
491.19,607.26,1475.22,1254.78,9.35,13.66,335.16,2324.0,8735.72,1.08,44.24,315.18,366,2324,24.48,14.7078
445.0,549.96,1354.0,1133.31,3.91,5.72,139.56,2212.05,8325.41,1.02,42.06,130.21,331,2212,10.58,6.3633
491.19,607.09,1482.68,1256.34,9.35,13.65,334.48,2323.94,8736.98,1.08,44.23,315.57,364,2324,24.61,14.7845
518.67,642.47,1596.96,1401.32,14.62,21.61,553.52,2388.06,9063.22,1.3,47.51,521.57,394,2388,38.88,23.3349
518.67,642.21,1588.21,1410.57,14.62,21.61,552.89,2388.06,9063.05,1.3,47.56,521.62,395,2388,38.93,23.3773
445.0,549.31,1352.23,1118.35,3.91,5.72,138.57,2212.07,8329.81,1.02,42.0,131.2,331,2212,10.67,6.4578
491.19,606.91,1487.11,1253.67,9.35,13.66,334.65,2323.96,8735.19,1.07,44.47,315.21,366,2324,24.66,14.673
491.19,607.91,1480.77,1247.22,9.35,13.65,334.53,2324.03,8732.31,1.08,44.12,315.58,364,2324,24.54,14.7378
489.05,604.66,1501.94,1305.22,10.52,15.49,394.53,2318.91,8790.33,1.26,45.43,371.86,368,2319,28.58,17.2025
449.44,555.77,1361.42,1131.25,5.48,8.0,195.03,2223.07,8350.11,1.02,42.07,183.37,333,2223,15.01,8.8263
445.0,549.55,1352.85,1123.89,3.91,5.71,138.72,2212.04,8326.49,1.02,42.06,130.43,332,2212,10.76,6.523
445.0,549.01,1357.86,1127.57,3.91,5.71,138.58,2212.06,8329.96,1.02,41.98,130.49,332,2212,10.59,6.3099
449.44,555.33,1369.64,1127.2,5.48,8.0,194.62,2223.01,8359.07,1.02,41.94,183.6,333,2223,14.68,8.9617
491.19,607.22,1485.64,1255.3,9.35,13.65,334.88,2324.04,8731.08,1.08,44.32,315.05,364,2324,24.46,14.7283
491.19,607.58,1482.57,1248.2,9.35,13.66,334.43,2324.01,8733.44,1.08,44.35,315.49,364,2324,24.51,14.6776
518.67,642.67,1588.71,1406.63,14.62,21.61,554.41,2388.05,9057.55,1.3,47.38,522.03,393,2388,38.95,23.3586
449.44,555.73,1367.33,1135.83,5.48,8.0,194.26,2223.08,8360.88,1.02,41.82,183.59,333,2223,14.9,9.0047
462.54,536.7,1257.58,1045.96,7.05,9.03,175.73,1915.47,8014.54,0.94,36.68,164.34,308,1915,14.32,8.5201
518.67,642.47,1584.53,1402.1,14.62,21.61,553.55,2388.06,9064.93,1.3,47.38,522.31,391,2388,38.86,23.382
518.67,642.48,1584.53,1399.74,14.62,21.61,554.59,2388.07,9064.93,1.3,47.46,521.9,390,2388,38.84,23.4306
518.67,642.81,1587.59,1411.27,14.62,21.61,553.88,2388.06,9058.99,1.3,47.47,521.83,393,2388,38.78,23.3847
462.54,536.81,1262.6,1050.61,7.05,9.03,175.92,1915.43,8005.94,0.94,36.66,164.91,306,1915,14.34,8.4604
489.05,604.59,1501.01,1309.51,10.52,15.49,394.92,2318.94,8788.43,1.26,45.36,372.02,370,2319,28.53,17.1442
462.54,537.08,1265.08,1050.62,7.05,9.03,175.2,1915.55,8013.06,0.94,36.7,164.42,308,1915,14.45,8.5791
491.19,607.7,1480.18,1248.5,9.35,13.66,334.73,2324.06,8738.24,1.08,44.07,315.15,365,2324,24.56,14.6503
489.05,604.66,1501.86,1304.31,10.52,15.49,394.82,2318.9,8791.62,1.26,45.62,371.91,366,2319,28.61,17.166
491.19,607.46,1484.37,1252.06,9.35,13.66,335.06,2323.97,8731.6,1.07,44.25,315.03,365,2324,24.4,14.7167
445.0,550.39,1351.33,1120.9,3.91,5.71,139.04,2212.02,8329.85,1.02,42.02,130.29,331,2212,10.69,6.3918
518.67,642.47,1587.38,1409.88,14.62,21.61,553.27,2388.09,9067.12,1.3,47.27,521.27,392,2388,38.75,23.4117
491.19,607.89,1480.05,1257.12,9.35,13.66,334.39,2324.01,8726.14,1.08,44.38,314.9,365,2324,24.48,14.7642
